Aircraft type,Immatriculation,Altitude,Ground Speed,Heading,Origin,Destination,Airline_Code
LJ60,D-CADA,38000,455,25,GMFK,EDSB,ADN
B77W,RA-73141,0,1,73,VTBS,UUEE,AFL
B77W,RA-73146,37000,480,352,FIMP,UUEE,AFL
B77W,RA-73132,32000,478,315,VTSP,UUEE,AFL
A359,RA-73151,37000,483,332,VRMM,UUEE,AFL
A333,RA-73783,35100,479,155,UUEE,ZJSY,AFL
P28A,N822PA,2950,66,79,KDVT,KCGZ,ASI
P28A,N925PA,1300,61,84,KDVT,KFLG,ASI
P28A,N4146D,2200,108,230,KGTU,N/A,ASI
P28A,N443PA,3200,98,145,KDVT,N/A,ASI
P28A,N921PA,2700,77,132,KDVT,KCGZ,ASI
B738,9H-BRU,31000,490,191,LIML,LIEO,AEZ
B738,9H-FRA,7025,273,190,LIRF,LICB,AEZ
B738,9H-FSJ,4800,256,157,LIRF,LICJ,AEZ
B738,YR-HLA,21025,436,152,LIRF,LICC,AEZ
B738,9H-GFP,19825,418,194,LIML,LIEA,AEZ
A332,LV-GKP,38000,458,334,SAEZ,KMIA,ARG
B738,LV-FUC,24050,400,356,SAWH,SABE,ARG
A332,LV-KAO,37000,505,146,KMIA,SAEZ,ARG
B38M,LV-GVE,3575,215,100,SAZY,SAEZ,ARG
B738,LV-GUB,9875,293,221,SABE,SCEL,ARG
C68A,XA-MLT,40000,387,291,MMUN,N/A,LET
LJ75,XA-MBO,0,0,33,MMAN,KBRO,LET
